source_id,source_name,state,scope,source_type,active,endpoint,dataset_id,notes
charlotte,Charlotte,NC,city,arcgis,YES,https://meckgis.mecklenburgcountync.gov/server/rest/services/BuildingPermits/FeatureServer/0/query,BuildingPermits_Mecklenburg,"V19: Full 38-field map — project name/desc/phase, permit desc, subdivision, zone code, building type..."
columbus,Columbus,OH,city,arcgis,YES,https://services5.arcgis.com/ZJRVau75bVmTMrpw/arcgis/rest/services/Building_and_Zoning_Cases/FeatureServer/1/query,Building_and_Zoning_Cases_1,"V17h: Switched to ArcGIS Building_and_Zoning_Cases Layer 1 — CASE_NO, FULL_ADDRESS. Limited fields b..."
fort_worth,Fort Worth,TX,city,arcgis,YES,https://services5.arcgis.com/3ddLCBXe1bRt7mzj/ArcGIS/rest/services/CFW_Open_Data_Development_Permits_View/FeatureServer/0/query,CFW_Development_Permits,"V19: Full 30-field map — permit type/subtype/category, work description, special text, full address ..."
honolulu,Honolulu,HI,city,socrata,NO,https://data.honolulu.gov/resource/4vab-c87q.json,4vab-c87q,"V19: Replaced fabricated msmn-pn2k with real dataset 4vab-c87q. Rich data: applicant, estimatedvalue..."
indianapolis,Indianapolis,IN,city,socrata,NO,https://data.indy.gov/resource/mna3-bpys.json,mna3-bpys,V12.6: Deactivated — fabricated Socrata domain
louisville,Louisville,KY,city,arcgis,YES,https://services1.arcgis.com/79kfd2K6fskCAkyg/arcgis/rest/services/active_construction_permits/FeatureServer/0/query,active_construction_permits,"V19: Full 20-field map — contractor, category, work type, zoning, sqft, permit fee, project costs, c..."
memphis,Memphis,TN,city,socrata,NO,https://data.memphistn.gov/resource/x2kq-mtik.json,x2kq-mtik,V12.6: Deactivated — fabricated Socrata domain
mesa,Mesa,AZ,city,socrata,NO,https://data.mesaaz.gov/resource/2gkz-7z4f.json,2gkz-7z4f,"V12.32: Verified live — premium: contractor name+address, applicant, sq_ft, valuation"
milwaukee,Milwaukee,WI,city,ckan,YES,https://data.milwaukee.gov/api/3/action/datastore_search,828e9630-d7cb-42e4-960e-964eae916397,"V17h: Switched to CKAN datastore_search — verified endpoint with Record ID, Permit Type, Address, Da..."
oakland,Oakland,CA,city,socrata,NO,https://data.oaklandca.gov/resource/wgz8-438i.json,wgz8-438i,V12.6: Deactivated — fabricated Socrata domain
oklahoma_city,Oklahoma City,OK,city,socrata,NO,https://data.okc.gov/resource/5fbs-8qm4.json,5fbs-8qm4,V12.6: Deactivated — fabricated Socrata domain
omaha,Omaha,NE,city,socrata,NO,https://data.cityofomaha.org/resource/7ggb-3m9q.json,7ggb-3m9q,V12.6: Deactivated — fabricated Socrata domain
st_louis,St. Louis,MO,city,socrata,NO,https://data.stlouis-mo.gov/resource/dk79-5s6i.json,dk79-5s6i,V12.6: Deactivated — fabricated Socrata domain
tucson,Tucson,AZ,city,arcgis,YES,https://gis.tucsonaz.gov/public/rest/services/PublicMaps/PermitsCode/MapServer/85/query,PDSD_ResidentialBldg_85,V19: Updated to gis.tucsonaz.gov (from mapdata.tucsonaz.gov). Full 30-field map — apply/issue/expire...
longview_tx,Longview,TX,city,arcgis,YES,https://cloud.longviewtexas.gov/arcgis/rest/services/WebMaps/Building_Permits/MapServer/1/query,Building_Permits_MapServer_1,V12.7: New — Longview TX commercial permits via ArcGIS MapServer layer 1. Data current Dec 2025. Lay...
lynchburg_va,Lynchburg,VA,city,arcgis,YES,https://mapviewer.lynchburgva.gov/arcgis/rest/services/OpenData/ODPDynamic/MapServer/37/query,ODPDynamic_MapServer_37,"V12.7: New — Lynchburg VA permits via ArcGIS MapServer. Data current Mar 2026. Includes building, co..."
long_beach,Long Beach,CA,city,socrata,NO,https://data.longbeach.gov/resource/6yaw-2i7d.json,6yaw-2i7d,V12.6: Deactivated — fabricated Socrata domain
fresno,Fresno,CA,city,socrata,NO,https://data.fresno.gov/resource/bqwt-zsqu.json,bqwt-zsqu,V12.6: Deactivated — fabricated Socrata domain
las_vegas,Las Vegas,NV,city,arcgis,YES,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Building_Permits/FeatureServer/0/query,Building_Permits_LV,"V17h: Verified ArcGIS endpoint via discovery script — CaseNumber, Address, IssuedDate, Cost"
orlando,Orlando,FL,city,socrata,YES,https://data.cityoforlando.net/resource/ryhf-m453.json,ryhf-m453,"V18: Added contractor_name field mapping — premium data includes contractor name, address, phone"
tampa,Tampa,FL,city,arcgis,YES,https://arcgis.tampagov.net/arcgis/rest/services/Planning/ConstructionInspections/FeatureServer/0/query,ConstructionInspections_0,"V17h: Switched to ArcGIS tampagov.net ConstructionInspections — RECORD_ID, ADDRESS, ZIP, PROJECTSTAT..."
jacksonville,Jacksonville,FL,city,arcgis,NO,https://services1.arcgis.com/sSwFpTv9KLqJnHQx/arcgis/rest/services/Building_Permits/FeatureServer/0/query,Building_Permits,V12.5: No public API — uses JaxEPICS proprietary system
virginia_beach,Virginia Beach,VA,city,arcgis,YES,https://services2.arcgis.com/CyVvlIiUfRBmMQuu/arcgis/rest/services/Building_Permits_Applications_view/FeatureServer/0/query,Building_Permits_Applications_view,"V12.32: Verified live — dates as YYYY/MM/DD strings, has ConstructionType field"
albuquerque,Albuquerque,NM,city,arcgis,YES,https://coageo.cabq.gov/cabqgeo/rest/services/agis/City_Building_Permits/FeatureServer/0/query,City_Building_Permits,"V12.32: Verified live — contractor names, valuations, work descriptions, owner names"
cleveland,Cleveland,OH,city,arcgis,YES,https://services3.arcgis.com/dty2kHktVXHrqO8i/arcgis/rest/services/Building_Permits/FeatureServer/0/query,Issued_Building_Permits,V12.4: Fabricated ArcGIS org ID — returns Invalid URL
roseville,Roseville,CA,city,socrata,YES,https://data.roseville.ca.us/resource/buxi-gsvq.json,buxi-gsvq,No address data in dataset - not useful for leads
marin_county,Marin County,CA,city,socrata,NO,https://data.marincounty.gov/resource/mkbn-caye.json,mkbn-caye,
gainesville,Gainesville,FL,city,socrata,YES,https://data.cityofgainesville.org/resource/p798-x3nx.json,p798-x3nx,
mesa_new,Mesa,AZ,city,socrata,YES,https://citydata.mesaaz.gov/resource/dzpk-hxfb.json,dzpk-hxfb,"V18: Upgraded field_map — premium data: contractor_name, contractor_email, contractor_license, appli..."
corona,Corona,CA,city,socrata,YES,https://corstat.coronaca.gov/resource/2agx-camz.json,2agx-camz,
montgomery_county_md,Montgomery County,MD,city,socrata,NO,https://data.montgomerycountymd.gov/resource/qxie-8qnp.json,qxie-8qnp,
williamson_county_tx,Williamson County,TX,city,socrata,NO,https://data.wcad.org/resource/fqhf-gyjx.json,fqhf-gyjx,
dallas,Dallas,TX,city,socrata,YES,https://www.dallasopendata.com/resource/e7gq-4sah.json,e7gq-4sah,V12.3: Verified working — formerly dallas_verified
framingham,Framingham,MA,city,socrata,YES,https://data.framinghamma.gov/resource/2vzw-yean.json,2vzw-yean,
parker,Parker,CO,city,socrata,YES,https://parkeronline.data.socrata.com/resource/f6vi-7y2m.json,f6vi-7y2m,
albany,Albany,NY,city,socrata,YES,https://data.ny.gov/resource/kb9s-4gzd.json,kb9s-4gzd,Historical data 2009-2013
prince_georges_county,Prince Georges County,MD,city,socrata,NO,https://data.princegeorgescountymd.gov/resource/weik-ttee.json,weik-ttee,V12.6: Deactivated — fabricated Socrata domain
new_jersey_state,New Jersey,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,"Statewide NJ data - covers Newark, Jersey City, Trenton, etc."
bayonne_nj,Bayonne,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Bayonne NJ from NJ statewide. Pop ~71K.
passaic_nj,Passaic,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Passaic permits via NJ State Socrata. Filtered from statewide dataset. Pop ~70K.
east_orange_nj,East Orange,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: East Orange NJ from NJ statewide. Pop ~65K.
union_city_nj,Union City,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Union City NJ from NJ statewide. Pop ~73K.
vineland_nj,Vineland,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Vineland permits via NJ State Socrata. Filtered from statewide dataset. Pop ~60K.
hoboken_nj,Hoboken,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Hoboken NJ from NJ statewide. Pop ~60K. Hot construction market.
perth_amboy_nj,Perth Amboy,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Perth Amboy permits via NJ State Socrata. Filtered from statewide dataset. Pop ~55K.
plainfield_nj,Plainfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Plainfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~54K.
west_new_york_nj,West New York,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: West New York NJ from NJ statewide. Pop ~54K.
hackensack_nj,Hackensack,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Hackensack NJ from NJ statewide. Pop ~46K. Bergen County seat.
sayreville_nj,Sayreville,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Sayreville permits via NJ State Socrata. Filtered from statewide dataset. Pop ~45K.
linden_nj,Linden,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Linden permits via NJ State Socrata. Filtered from statewide dataset. Pop ~43K.
kearny_nj,Kearny,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Kearny permits via NJ State Socrata. Filtered from statewide dataset. Pop ~41K.
fort_lee_nj,Fort Lee,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Fort Lee permits via NJ State Socrata. Filtered from statewide dataset. Pop ~40K.
atlantic_city_nj,Atlantic City,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Atlantic City NJ from NJ statewide. Pop ~38K. Casino/resort construction.
fair_lawn_nj,Fair Lawn,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Fair Lawn permits via NJ State Socrata. Filtered from statewide dataset. Pop ~34K.
garfield_nj,Garfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Garfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~32K.
long_branch_nj,Long Branch,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Long Branch permits via NJ State Socrata. Filtered from statewide dataset. Pop ~31K.
westfield_nj,Westfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Westfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~31K.
rahway_nj,Rahway,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Rahway permits via NJ State Socrata. Filtered from statewide dataset. Pop ~29K.
englewood_nj,Englewood,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Englewood permits via NJ State Socrata. Filtered from statewide dataset. Pop ~29K.
bergenfield_nj,Bergenfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Bergenfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~28K.
millville_nj,Millville,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Millville permits via NJ State Socrata. Filtered from statewide dataset. Pop ~27K.
bridgeton_nj,Bridgeton,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Bridgeton permits via NJ State Socrata. Filtered from statewide dataset. Pop ~27K.
paramus_nj,Paramus,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Paramus permits via NJ State Socrata. Filtered from statewide dataset. Pop ~26K.
lodi_nj,Lodi,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Lodi permits via NJ State Socrata. Filtered from statewide dataset. Pop ~26K.
ridgewood_nj,Ridgewood,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Ridgewood permits via NJ State Socrata. Filtered from statewide dataset. Pop ~25K.
cliffside_park_nj,Cliffside Park,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Cliffside Park permits via NJ State Socrata. Filtered from statewide dataset. Pop ~25K.
carteret_nj,Carteret,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Carteret permits via NJ State Socrata. Filtered from statewide dataset. Pop ~25K.
south_plainfield_nj,South Plainfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — South Plainfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~24...
glassboro_nj,Glassboro,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Glassboro permits via NJ State Socrata. Filtered from statewide dataset. Pop ~23K.
north_plainfield_nj,North Plainfield,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — North Plainfield permits via NJ State Socrata. Filtered from statewide dataset. Pop ~22...
summit_nj,Summit,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Summit permits via NJ State Socrata. Filtered from statewide dataset. Pop ~22K.
roselle_nj,Roselle,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Roselle permits via NJ State Socrata. Filtered from statewide dataset. Pop ~22K.
secaucus_nj,Secaucus,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Secaucus permits via NJ State Socrata. Filtered from statewide dataset. Pop ~22K.
lindenwold_nj,Lindenwold,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Lindenwold permits via NJ State Socrata. Filtered from statewide dataset. Pop ~21K.
elmwood_park_nj,Elmwood Park,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Elmwood Park permits via NJ State Socrata. Filtered from statewide dataset. Pop ~21K.
pleasantville_nj,Pleasantville,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Pleasantville permits via NJ State Socrata. Filtered from statewide dataset. Pop ~20K.
palisades_park_nj,Palisades Park,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Palisades Park permits via NJ State Socrata. Filtered from statewide dataset. Pop ~20K.
morristown_nj,Morristown,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.60: Morristown NJ from NJ statewide. Pop ~19K. County seat.
hawthorne_nj,Hawthorne,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Hawthorne permits via NJ State Socrata. Filtered from statewide dataset. Pop ~19K.
tinton_falls_nj,Tinton Falls,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Tinton Falls permits via NJ State Socrata. Filtered from statewide dataset. Pop ~19K.
rutherford_nj,Rutherford,NJ,city,socrata,YES,https://data.nj.gov/resource/w9se-dmra.json,w9se-dmra,V12.7: New — Rutherford permits via NJ State Socrata. Filtered from statewide dataset. Pop ~18K.
noblesville_in,Noblesville,IN,city,arcgis,YES,https://gis1.hamiltoncounty.in.gov/arcgis/rest/services/POSSE/POSSE_Map/MapServer/18/query,POSSE_Map_Layer18,V12.7: New — Hamilton County IN ArcGIS. No date field; uses OBJECTID for ordering. Pop ~70K.
collin_county_tx,Collin County,TX,city,socrata,YES,https://data.texas.gov/resource/82ee-gbj5.json,82ee-gbj5,V12.7: New — Collin County TX via data.texas.gov Socrata. Countywide dataset.
allen_tx,Allen,TX,city,socrata,YES,https://data.texas.gov/resource/82ee-gbj5.json,82ee-gbj5,V12.7: New — Allen permits via Collin County Socrata. Pop ~105K.
wylie_tx,Wylie,TX,city,socrata,YES,https://data.texas.gov/resource/82ee-gbj5.json,82ee-gbj5,V12.7: New — Wylie permits via Collin County Socrata. Pop ~58K.
alpharetta_ga,Alpharetta,GA,city,arcgis,YES,https://alphagis.alpharetta.ga.us/arcgis/rest/services/OpenData/OpenData_PCE_Full/FeatureServer/3/query,,V12.9: New — Alpharetta GA ArcGIS permits. Pop ~67K. No orderByFields support.
pierce_county_wa,Pierce County,WA,city,arcgis,YES,https://services2.arcgis.com/1UvBaQ5y1ubjUPmd/arcgis/rest/services/Permits_Pierce_County/FeatureServer/0/query,,"V12.9: New — Pierce County WA ArcGIS permits. Covers Lakewood, Tacoma unincorp, etc."
howard_county,Howard County,MD,city,socrata,NO,https://opendata.howardcountymd.gov/resource/kvz2-j5cj.json,kvz2-j5cj,
sonoma_county,Sonoma County,CA,city,socrata,NO,https://data.sonomacounty.ca.gov/resource/652y-5ihx.json,652y-5ihx,V12.6: Deactivated — fabricated Socrata domain
collin_county,Collin County,TX,city,socrata,NO,https://data.texas.gov/resource/82ee-gbj5.json,82ee-gbj5,
summit_county_ut,Summit County,UT,city,socrata,YES,https://opendata.utah.gov/resource/rtmz-aq9t.json,rtmz-aq9t,
west_hollywood,West Hollywood,CA,city,socrata,YES,https://data.weho.org/resource/d96h-4b7t.json,d96h-4b7t,V12.7: Reactivated — data.weho.org verified working
calgary,Calgary,AB,city,socrata,NO,https://data.calgary.ca/resource/c2es-76ed.json,c2es-76ed,"Calgary, Alberta, Canada"
somerville,Somerville,MA,city,socrata,YES,https://data.somervillema.gov/resource/vxgw-vmky.json,vxgw-vmky,V12.38: Fixed field_map - working endpoint
norfolk_new,Norfolk,VA,city,socrata,YES,https://data.norfolk.gov/resource/bnrb-u445.json,bnrb-u445,"V19: Full 32-field map — permit number, address, application/issue/finalize dates, type, status, use..."
frederick,Frederick,MD,city,socrata,YES,https://opendata.maryland.gov/resource/xrz3-9xhj.json,xrz3-9xhj,
college_station,College Station,TX,city,socrata,YES,https://data.cstx.gov/resource/hrbn-znt6.json,hrbn-znt6,V12.7: Reactivated — data.cstx.gov verified working
cook_county,Cook County,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.7: Reactivated — Cook County Assessor Permits via Socrata. Data current Dec 2025. Covers 130+ mu...
cicero_il,Cicero,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.7: New — Cicero permits via Cook County Socrata. Data current Dec 2025. Filtered from county-wid...
schaumburg_il,Schaumburg,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.7: New — Schaumburg permits via Cook County Socrata. Data current Dec 2025. Filtered from county...
evanston_il,Evanston,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.7: New — Evanston permits via Cook County Socrata. Data current Dec 2025. Filtered from county-w...
arlington_heights_il,Arlington Heights,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.7: New — Arlington Heights permits via Cook County Socrata. Data current Dec 2025. Filtered from...
palatine_il,Palatine,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Palatine permits via Cook County Socrata. Pop ~67K.
skokie_il,Skokie,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Skokie permits via Cook County Socrata. Pop ~67K.
des_plaines_il,Des Plaines,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Des Plaines permits via Cook County Socrata. Pop ~60K.
orland_park_il,Orland Park,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Orland Park permits via Cook County Socrata. Pop ~58K.
oak_lawn_il,Oak Lawn,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Oak Lawn permits via Cook County Socrata. Pop ~58K.
berwyn_il,Berwyn,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Berwyn permits via Cook County Socrata. Pop ~57K.
mount_prospect_il,Mount Prospect,IL,city,socrata,YES,https://datacatalog.cookcountyil.gov/resource/6yjf-dfxs.json,6yjf-dfxs,V12.8: New — Mount Prospect permits via Cook County Socrata. Pop ~56K.
